DESCRICAO;ESTOQUE;P/ CUSTO;P/VENDA
T-SHIRT BORDADA MANGA PREGAS;1;68,9;120
T-SHIRT BORDADO FLORAL MANGA E FRENTE;1;68,9;120
T-SHIRT BORDADO FRENTE;1;82,19;150
T-SHIRT COM VIES POR CIMA MANGA;1;68,9;120
T-SHIRT COM VIES POR CIMA MANGA;1;68,9;120
T-SHIRT CORACOES FRASES;1;68,46;120
T-SHIRT GOLA PEDRARIA;1;73,39;150
T-SHIRT GOLA PEDRARIA;1;73,39;150
T-SHIRT GUIPIR FRONTAL MANGA PREGAS;1;88,68;160
T-SHIRT LISTRADA C BORDADO;1;83,01;160
T-SHIRT MANGA BABADO C/ PEROLAS;2;81,01;160
T-SHIRT MANGA FRANZIDA;1;73,75;110
T-SHIRT MANGA LAISE;1;80,42;120
T-SHIRT MANGA LAISE;1;80,42;120
T-SHIRT MANGA TRANCA LARGA;1;57,4;100
T-SHIRT PUNHO CORRENTE ALGODAO;1;67,41;110
T-SHIRT RECHILIEU;1;83,01;120
T-SHIRT RECORTE MANDAS C/ PREGAS;1;67,41;100
T-SHIRT RECORTE MANGA C/ PREGAS DEITADA;1;68,9;110
T-SHIRT RECORTE MANGA C/ PREGAS DEITADA;1;67,41;100
T - SHIRT BORDADO FOLHAGEM;1;84,3;140
T - SHIRT BORDADO FRENTE;1;84,3;140
T - SHIRT PEDRARIA CAVA E DECOTE;1;73,75;110
T SHIRT BEAUTIFUL;1;94,75;150
T SHIRT FRENTE CHIFFON ESTAMPADA;1;73,72;110
T SHIRT MANGA BARRA ITALIANA C/ BORDADO;1;55,38;100
T SHIRT MANGA FRANZIDA PRESUNTO PREGAS;1;55,41;100
T SHIRT MANGA PREGAS;1;55,41;100
T SHIRT MANGA PREGAS;2;55,39;100
T SHIRT MANGA PREGAS;1;55,38;100
CAMISA ALONAGADA CAMBRAIA;1;177,52;220
CAMISA BOLSO DIRETO C/ LAPELA;1;89,88;150
CAMISA BORDADO CASCATA MANGA;1;137,62;180
CAMISA BORDADO DIRETO MANGA;1;188,57;220
CAMISA BORDADO FLORAL;1;105,4;160
CAMISA BROCHE FLOR;2;92,48;150
CAMISA CAMBRAIA MANGA BORDADA CAMADA;2;182,64;220
CAMISA CETIM COM BROCHE;1;95,07;150
CAMISA CLASSIC BASICA;2;89,88;140
CAMISA CROPPED C/ ASELHAS;1;159,78;200
CAMISA CROPPED DETALHES BORDADO;1;175,21;220
CAMISA CROPPED MANGA CURTA;1;89,88;150
CAMISA DET PUNHO;1;88,69;150
CAMISA FEMININA CROPPED;1;149,35;200
CAMISA FEMININA CROPPED;1;131,82;200
CAMISA FLOR COSTAS;2;102,77;150
CAMISA GOLA C/ BABADO;1;125,93;180
CAMISA GOLA PADRE;1;110,88;150
CAMISA GOLA PONTA C/ GUIPIR;1;160,32;200
CAMISA JOGO LISTRAS;1;103,78;150
CAMISA JOGO LISTRAS;1;103,78;150
CAMISA LAISE;1;84,3;140
CAMISA LAPELA DIAGONAL;2;94,85;150
CAMISA MANGA BUFANTE;1;155,74;200
CAMISA MANGA MINI FLORAL;1;137,39;200
CAMISA MARTINGALE E ARGOLAS;1;94,85;150
CAMISA NERVURAS;1;94,85;150
CAMISA NERVURAS E PONTO PALITO;1;89,84;120
CAMISA OVERSIZED;1;108,08;150
CAMISA OVERSIZED;1;108,08;150
CAMISA OVERSIZED;1;108,15;150
CAMISA OVERSIZED BOLSO C PREGA;1;108,08;150
CROPPED BARRA ARREDONDADA;1;125,52;180
CROPPED BORDADO BARRADO;2;103,79;150
CROPPED C PALA E GOLA C LASTEX;1;88,65;140
CROPPED C PALA E GOLA C LASTEX;2;88,69;150
CROPPED CAVADO C BORDADO;1;88,65;150
CROPPED CAVADO C ENTREMEIOS;1;133,07;180
CROPPED CAVADO C ENTREMEIOS;1;133,07;180
CROPPED CAVADO PENCE VERTICAL;1;96,06;150
CROPPED CAVADO PENCE VERTICAL;1;96,06;150
CROPPED DECOTE ARREDONDADO;2;83,9;150
CROPPED DET VIVADO;2;73,75;160
CROPPED DET. LAISE;3;144,19;200
CROPPED DETALHE PREGAS;1;101,74;150
CROPPED DETALHES TRANCADOS;1;116,12;160
CROPPED ELASTICO COSTAS ALCA BABADO;1;92,54;150
CROPPED ENTREMEIOS COM NERVURAS;2;88,65;140
CROPPED ESTAMP. AMARRACAO COSTAS;1;91,91;150
CROPPED GOLA BLAZER;1;126,89;180
CROPPED GOLA BLAZER MANGA C/ MARTINGA;1;88,72;130
CROPPED JABOUR DETALHE COSTAS;1;99,79;150
CROPPED LAISE C AMARRACAO;1;159,9;200
CROPPED LASTEX COSTAS;3;96,06;140
CROPPED MANGA COM PREGAS;1;104,51;150
CROPPED MANGA COM PREGAS;1;104,51;150
CROPPED TRICOT DET CORACAO;1;159,81;200
CIGANINHA BORDADA;1;91,33;140
BLUSA ABERTURAS MANGA;1;93,39;130
BLUSA ENTREMEIOS C/ MANGA LAISE;1;115,74;160
BLUSA SUELEN - AZUL MARINHO - M;1;80,84;140
BLUSA VINY - BRANCO - G;1;90,96;140
BLUSA VISCO NYLON DETALHE LASTEX;1;81,15;140
BERMUDA C CINTO;2;63,2;100
BERMUDA CICLISTA LISTRADA FIO TINTO;1;69,56;110
